Rainbow Team,Page,Link Text,Link,Status,Problem,Sessions,Org(s)
Blue,https://www.gov.uk/funeral-payments/eligibility,other help to pay for the funeral,https://www.moneyadviceservice.org.uk/en/articles/help-paying-for-a-funeral,403,"Blocked, but may work in a browser.",11509,Department for Work and Pensions
Blue,https://www.gov.uk/divorce/before-you-apply,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",11253,Ministry of Justice
Blue,https://www.gov.uk/applying-for-probate/if-theres-not-a-will,Read guidance from Money Helper about using a probate practitioner,https://www.moneyhelper.org.uk/en/family-and-care/death-and-bereavement/when-to-use-a-probate-specialist,403,"Blocked, but may work in a browser.",10209,HM Courts & Tribunals Service
Blue,https://www.gov.uk/looking-after-children-divorce,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",9101,Cafcass
Blue,https://www.gov.uk/county-court-judgments-ccj-for-debt/ccjs-and-your-credit-rating,register of judgments,http://www.trustonline.org.uk,403,"Blocked, but may work in a browser.",8872,HM Courts & Tribunals Service
Blue,https://www.gov.uk/benefit-cap/benefit-cap-amounts,Greater London,http://directory.londoncouncils.gov.uk,404,Not Found,7558,Department for Work and Pensions
Blue,https://www.gov.uk/cost-of-living/bills-housing-health,find out if you can get cheaper phone and broadband on the Ofcom website,https://www.ofcom.org.uk/phones-telecoms-and-internet/advice-for-consumers/costs-and-billing/social-tariffs,403,"Blocked, but may work in a browser.",7435,Department for Work and Pensions
Blue,https://www.gov.uk/personal-pensions-your-rights/how-you-can-take-pension,‘capped drawdown’ fund,https://www.moneyadviceservice.org.uk/en/articles/capped-drawdown,403,"Blocked, but may work in a browser.",7393,Department for Work and Pensions
Blue,https://www.gov.uk/divorce/apply-for-conditional-order-decree-nisi,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",7269,Ministry of Justice
Blue,https://www.gov.uk/divorce/what-happens-after-you-apply,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",7130,Ministry of Justice
Blue,https://www.gov.uk/maternity-pay-leave/leave,maternity planner,https://maternity-paternity-pay-leave,DNS Error,Failed to open TCP connection to maternity-paternity-pay-leave:443 (getaddrinfo: Temporary failure in name resolution),6820,Department for Work and Pensions
Blue,https://www.gov.uk/budgeting-help-benefits/what-youll-get,MoneyHelper,https://www.moneyhelper.org.uk/,403,"Blocked, but may work in a browser.",6798,Department for Work and Pensions
Blue,https://www.gov.uk/divorce/finalise-your-divorce,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",6578,Ministry of Justice
Blue,https://www.gov.uk/support-for-mortgage-interest,MoneyHelper,https://www.moneyhelper.org.uk/en/homes/buying-a-home,403,"Blocked, but may work in a browser.",6367,Department for Work and Pensions
Blue,https://www.gov.uk/money-property-when-relationship-ends/get-court-to-decide,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",6209,HM Courts & Tribunals Service
Blue,https://www.gov.uk/find-legal-advice/find-legal-adviser,The Law Society of Scotland,http://www.lawscot.org.uk/find-a-solicitor,403,"Blocked, but may work in a browser.",5188,HM Courts & Tribunals Service
Blue,https://www.gov.uk/find-legal-advice/find-legal-adviser,free legal advice in Northern Ireland,https://www.communityni.org/help/free-legal-advice-and-assistance,403,"Blocked, but may work in a browser.",5188,HM Courts & Tribunals Service
Blue,https://www.gov.uk/apply-housing-benefit-from-council,Find a postcode on Royal Mail&#39;s postcode finder,https://www.royalmail.com/find-a-postcode,403,"Blocked, but may work in a browser.",4856,Department for Work and Pensions
Blue,https://www.gov.uk/advertise-job,Start now,https://www.jobs.service.gov.uk/employers/byos/home/index.html,403,"Blocked, but may work in a browser.",4811,Department for Work and Pensions
Blue,https://www.gov.uk/claim-compensation-criminal-injury/eligibility,country that has signed up to the Council of Europe Convention on the Compensation of Victim of Violent Crimes,https://www.coe.int/en/web/conventions/full-list/-/conventions/treaty/116/signatures?p_auth=762Omeg9,403,"Blocked, but may work in a browser.",4789,Criminal Injuries Compensation Authority
Blue,https://www.gov.uk/cost-of-living/60-or-over,apply for a 60+ London Oyster photocard on the Transport for London (TfL) website,https://tfl.gov.uk/fares/free-and-discounted-travel/60-plus-oyster-photocard,403,"Blocked, but may work in a browser.",4351,Department for Work and Pensions
Blue,https://www.gov.uk/looking-after-children-divorce/make-child-arrangements-plan,NSPCC’s website,https://www.nspcc.org.uk/what-is-child-abuse,403,"Blocked, but may work in a browser.",4095,Cafcass
Blue,https://www.gov.uk/looking-after-children-divorce/make-child-arrangements-plan,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",4095,Cafcass
Blue,https://www.gov.uk/budgeting-help-benefits/repayments,MoneyHelper,https://www.moneyhelper.org.uk/,403,"Blocked, but may work in a browser.",3933,Department for Work and Pensions
Blue,https://www.gov.uk/money-property-when-relationship-ends/mediation,divorce and separation calculator,https://www.moneyadviceservice.org.uk/en/articles/divorce-and-money-calculator,403,"Blocked, but may work in a browser.",3923,HM Courts & Tribunals Service
Blue,https://www.gov.uk/money-property-when-relationship-ends/mediation,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",3923,HM Courts & Tribunals Service
Blue,https://www.gov.uk/your-rights-bailiffs,MoneyHelper,https://www.moneyhelper.org.uk/en/money-troubles/dealing-with-debt,403,"Blocked, but may work in a browser.",3882,HM Courts & Tribunals Service
Blue,https://www.gov.uk/honours/nominate-someone-in-the-uk,Make a nomination,https://nominate-uk-honour.service.gov.uk/,SSL Error,SSL_connect returned=1 errno=0 peeraddr=155.226.157.182:443 state=error: certificate verify failed (unable to get local issuer certificate),3503,Cabinet Office
Blue,https://www.gov.uk/dla-disability-living-allowance-benefit/your-DLA-claim,tell Social Security Scotland,https://www.mygov.scot/moving-to-scottish-adult-dla,404,Not Found,3415,Department for Work and Pensions
Blue,https://www.gov.uk/find-government-property,Start now,https://service.insite.cabinetoffice.gov.uk/government-property-finder/SearchForSale.aspx,Timeout,Failed to open TCP connection to service.insite.cabinetoffice.gov.uk:443 (execution expired),3382,Government Property Function
Blue,https://www.gov.uk/looking-after-children-divorce/mediation,Find a counsellor on Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",3365,Cafcass
Blue,https://www.gov.uk/benefits-end-of-life,Money Helper,https://www.moneyhelper.org.uk/en?source=mas,403,"Blocked, but may work in a browser.",2915,Department for Work and Pensions
Blue,https://www.gov.uk/personal-pensions-your-rights,stakeholder pensions,https://www.moneyadviceservice.org.uk/en/articles/stakeholder-pensions,403,"Blocked, but may work in a browser.",2733,Department for Work and Pensions
Blue,https://www.gov.uk/personal-pensions-your-rights,self-invested personal pensions ( SIPPs ),https://www.moneyadviceservice.org.uk/en/articles/self-invested-personal-pensions,403,"Blocked, but may work in a browser.",2733,Department for Work and Pensions
Blue,https://www.gov.uk/injunction-domestic-violence,Men’s Advice Line,http://www.mensadviceline.org.uk,403,"Blocked, but may work in a browser.",2667,HM Courts Service
Blue,https://www.gov.uk/reply-divorce-application,Counselling Directory,https://www.counselling-directory.org.uk/adv-search.html,403,"Blocked, but may work in a browser.",2583,HM Courts & Tribunals Service
Blue,https://www.gov.uk/personal-pensions-your-rights/get-help,MoneyHelper,https://www.moneyhelper.org.uk/en/pensions-and-retirement,403,"Blocked, but may work in a browser.",2578,Department for Work and Pensions
Blue,https://www.gov.uk/personal-pensions-your-rights/get-help,Pension Wise,https://www.moneyhelper.org.uk/en/pensions-and-retirement/pension-wise,403,"Blocked, but may work in a browser.",2578,Department for Work and Pensions
